store,date_of_week,sales,price
STORE1,2012-09-29,1723,2.3057421875
STORE1,2012-10-06,1751,2.3391005291005293
STORE1,2012-10-13,1703,2.319602272727273
STORE1,2012-10-20,1500,2.3578783783783783
STORE1,2012-10-27,1779,2.3635185185185184
STORE1,2012-11-03,1788,2.398565989847716
STORE1,2012-11-10,1624,2.3843781725888324
STORE1,2012-11-17,1711,2.374246231155779
STORE1,2012-11-24,2065,2.4155778301886794
STORE1,2012-12-01,1758,2.4056770833333334
STORE1,2012-12-08,1506,2.3875526315789473
STORE1,2012-12-15,1531,2.409280104712042
STORE1,2012-12-22,1581,2.403510101010101
STORE1,2012-12-29,2118,2.4022014925373134
STORE2,2012-01-07,1701,2.861278409090909
STORE2,2012-01-14,1680,2.9692857142857143
STORE2,2012-01-21,1558,2.892470588235294
STORE2,2012-01-28,1681,2.9199728260869566
STORE2,2012-02-04,1948,2.8892582417582418
STORE2,2012-02-11,1900,2.863953488372093
STORE2,2012-02-18,1844,2.932471590909091
STORE2,2012-02-25,1943,2.856
STORE2,2012-03-03,1825,2.867526315789474
STORE2,2012-03-10,2028,2.807205882352941
STORE2,2012-03-17,1503,2.7922674418604654
STORE2,2012-03-24,1713,2.7179464285714285
STORE2,2012-03-31,1664,2.737335164835165
STORE2,2012-04-07,2144,2.8101612903225806
STORE2,2012-04-14,2189,2.688341836734694
STORE2,2012-04-21,2356,2.7352717391304346
STORE2,2012-04-28,2034,2.705763157894737
STORE2,2012-05-05,2302,2.718842105263158
STORE2,2012-05-12,2188,2.7388440860215053
STORE2,2012-05-19,2437,2.715212765957447
STORE2,2012-05-26,2387,2.68109375
STORE2,2012-06-02,2421,2.73055
STORE2,2012-06-09,2277,2.770575
STORE2,2012-06-16,2240,2.787139175257732
STORE2,2012-06-23,2407,2.7740364583333332
STORE2,2012-06-30,2387,2.796932989690722
STORE2,2012-07-07,2835,2.7707908163265307
STORE2,2012-07-14,2159,2.7572680412371136
STORE2,2012-07-21,2267,2.7782474226804124
STORE2,2012-07-28,2237,2.7613541666666666
STORE2,2012-08-04,2205,2.767219387755102
STORE2,2012-08-11,2753,2.7693298969072164
STORE2,2012-08-18,2480,2.7619072164948455
STORE2,2012-08-25,2418,2.670398936170213
STORE2,2012-09-01,2577,2.7098177083333335
STORE2,2012-09-08,2692,2.7244444444444444
STORE2,2012-09-15,2663,2.740229591836735
STORE2,2012-09-22,2568,2.6714583333333333
STORE2,2012-09-29,2451,2.662157894736842
STORE2,2012-10-06,2472,2.774342105263158
STORE2,2012-10-13,2210,2.71675
STORE2,2012-10-20,2330,2.74659793814433
STORE2,2012-10-27,2190,2.750325
STORE2,2012-11-03,2223,2.7226237623762377
STORE2,2012-11-10,2031,2.7311893203883497
STORE2,2012-11-17,1994,2.7114000000000003
STORE2,2012-11-24,2832,2.7607673267326733
STORE2,2012-12-01,1586,2.8551944444444444
STORE2,2012-12-08,2111,2.7775
STORE2,2012-12-15,1853,2.746489898989899
STORE2,2012-12-22,1927,2.776111111111111
STORE2,2012-12-29,2456,2.7593939393939393
STORE3,2012-01-07,1117,2.47184375
STORE3,2012-01-14,997,2.4887012987012986
STORE3,2012-01-21,1126,2.4592
STORE3,2012-01-28,1139,2.573878205128205
STORE3,2012-02-04,1328,2.556309523809524
STORE3,2012-02-11,1318,2.5474117647058825
STORE3,2012-02-18,1213,2.506867088607595
STORE3,2012-02-25,1116,2.5263486842105265
STORE3,2012-03-03,1081,2.6085365853658535
STORE3,2012-03-10,1090,2.5561309523809523
STORE3,2012-03-17,1444,2.5257228915662653
STORE3,2012-03-24,1234,2.5548493975903614
STORE3,2012-03-31,1242,2.603719512195122
STORE3,2012-04-07,1625,2.5204320987654323
STORE3,2012-04-14,1543,2.5586309523809523
STORE3,2012-04-21,1292,2.549451219512195
STORE3,2012-04-28,1503,2.5565202702702705
STORE3,2012-05-05,1719,2.506777108433735
STORE3,2012-05-12,1306,2.6057941176470587
STORE3,2012-05-19,1671,2.5318072289156626
STORE3,2012-05-26,1792,2.522530487804878
STORE3,2012-06-02,1957,2.5328779069767444
STORE3,2012-06-09,1705,2.5528915662650604
STORE3,2012-06-16,1820,2.3985416666666666
STORE3,2012-06-23,2111,2.410952380952381
STORE3,2012-06-30,1978,2.2938802083333334
STORE3,2012-07-07,2625,2.3843095238095238
STORE3,2012-07-14,1546,2.4768028846153847
STORE3,2012-07-21,1700,2.468119266055046
STORE3,2012-07-28,1806,2.4582009345794393
STORE3,2012-08-04,1755,2.4306617647058824
STORE3,2012-08-11,1953,2.4317307692307693
STORE3,2012-08-18,1521,2.4402142857142857
